"Domena ","Udział w rynku ","Wizyty ","Wizyty poprzednio","Wizyty różnica %","Wizyty różnica","Bezpośrednie ","Bezpośrednie poprzednio","Bezpośrednie różnica %","Bezpośrednie różnica","Ruch AI ","Ruch AI poprzednio","Ruch AI różnica %","Ruch AI różnica","Odesłania ","Odesłania poprzednio","Odesłania różnica %","Odesłania różnica","Wyszukiwanie organiczne ","Wyszukiwanie organiczne poprzednio","Wyszukiwanie organiczne różnica %","Wyszukiwanie organiczne różnica","Tryb AI w Google ","Tryb AI w Google poprzednio","Tryb AI w Google różnica %","Tryb AI w Google różnica","Płatny z wyszukiwarek ","Płatny z wyszukiwarek poprzednio","Płatny z wyszukiwarek różnica %","Płatny z wyszukiwarek różnica","Organiczny z mediów społ. ","Organiczny z mediów społ. poprzednio","Organiczny z mediów społ. różnica %","Organiczny z mediów społ. różnica","Płatny z mediów społ. ","Płatny z mediów społ. poprzednio","Płatny z mediów społ. różnica %","Płatny z mediów społ. różnica","E-mail ","E-mail poprzednio","E-mail różnica %","E-mail różnica","Reklamy displayowe ","Reklamy displayowe poprzednio","Reklamy displayowe różnica %","Reklamy displayowe różnica","Konwersja na zakup ","Konwersja na zakup poprzednio","Konwersja na zakup różnica %","Konwersja na zakup różnica","Strony na wizytę ","Strony na wizytę poprzednio","Strony na wizytę różnica %","Strony na wizytę różnica","Unikatowi goście ","Unikatowi goście poprzednio","Unikatowi goście różnica %","Unikatowi goście różnica","Śr. czas wizyty ","Śr. czas wizyty poprzednio","Śr. czas wizyty różnica %","Śr. czas wizyty różnica","Współczynnik odrzuceń ","Współczynnik odrzuceń poprzednio","Współczynnik odrzuceń różnica %","Współczynnik odrzuceń różnica"
"mp.pl","63,72%","169622204","222306690","-23,7%","-52684486","49808648","52312514","-4,79%","-2503866","112788","2005","5,5 tys.%","110783","1630286","1791931","-9,02%","-161645","117083713","167588936","-30,14%","-50505223","1371","brak zmian","100%","1371","218","1917","-88,63%","-1699","341903","452917","-24,51%","-111014","2523","brak zmian","100%","2523","640683","154131","315,67%","486552","71","2339","-96,96%","-2268","0,05%","0,03%","72,4%","0.00019223928943664167","1.6895651585803","1.874658985746223","-9,87%","-0.18509382716592304","89958003","116040658","-22,48%","-26082655","08:43","09:01","-3,33%","-18","76,91%","75,88%","1,36%","0.010334768489701274"
"rocketjobs.pl","9,94%","26461171","16371322","61,63%","10089849","13443572","7707980","74,41%","5735592","45499","31","146,7 tys.%","45468","6214406","4321887","43,79%","1892519","4713188","2691819","75,09%","2021369","brak zmian","brak zmian","brak zmian","brak zmian","692261","215323","221,5%","476938","819591","1274017","-35,67%","-454426","32439","76579","-57,64%","-44140","438071","38364","1 tys.%","399707","62144","45322","37,12%","16822","< 0.01%","0,06%","-87,86%","-0.0004962991703856174","4.512137350232913","3.504450282023651","28,75%","1.007687068209262","13273013","8438952","57,28%","4834061","07:14","08:24","-13,89%","-70","48,66%","59,41%","-18,1%","-0.1075696273111224"
"sermo.com","8,73%","23242401","14189439","63,8%","9052962","16744963","10354708","61,71%","6390255","18290","2","914,4 tys.%","18288","2895252","2175588","33,08%","719664","2379806","999756","138,04%","1380050","356","brak zmian","100%","356","187861","14697","1,2 tys.%","173164","252334","156121","61,63%","96213","71578","32218","122,17%","39360","683651","452611","51,05%","231040","8310","3738","122,31%","4572","< 0.01%","0,02%","-67,9%","-0.00011010283330833913","4.6596819751969685","4.040067334585955","15,34%","0.6196146406110135","9600323","6716807","42,93%","2883516","05:42","04:28","27,61%","74","31,51%","30,98%","1,72%","0.005326496953704518"
"termedia.pl","6,92%","18412550","17025896","8,14%","1386654","6694972","4860720","37,74%","1834252","82909","brak zmian","100%","82909","546529","544035","0,46%","2494","10912779","11341476","-3,78%","-428697","583","brak zmian","100%","583","brak zmian","brak zmian","brak zmian","brak zmian","150513","228005","-33,99%","-77492","brak zmian","brak zmian","brak zmian","brak zmian","24265","51660","-53,03%","-27395","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","1.5105336849051327","1.518590034850442","-0,53%","-0.008056349945309238","13476485","12850814","4,87%","625671","06:45","05:28","23,48%","77","82,02%","81,33%","0,84%","0.006833210190275385"
"podyplomie.pl","3,72%","9901646","14726941","-32,77%","-4825295","3393802","3642209","-6,82%","-248407","15861","brak zmian","100%","15861","193382","214300","-9,76%","-20918","6213647","10753776","-42,22%","-4540129","391","brak zmian","100%","391","9808","6634","47,84%","3174","55628","82570","-32,63%","-26942","3212","15198","-78,87%","-11986","15915","12254","29,88%","3661","brak zmian","brak zmian","brak zmian","brak zmian","0,03%","brak zmian","100%","0.00033560076779153686","1.7946107142186258","1.6078973223291924","11,61%","0.18671339188943348","6739181","10734072","-37,22%","-3994891","07:28","07:06","5,16%","22","75,9%","78,13%","-2,85%","-0.022271897396266782"
"remedium.md","3,07%","8184667","2840129","188,18%","5344538","4241869","1161956","265,06%","3079913","10660","brak zmian","100%","10660","225549","29510","664,31%","196039","3387888","1327503","155,21%","2060385","163","brak zmian","100%","163","3557","brak zmian","100%","3557","258852","307087","-15,71%","-48235","25069","6788","269,31%","18281","19410","6763","187%","12647","11650","522","2,1 tys.%","11128","brak zmian","brak zmian","brak zmian","brak zmian","4.0794045744316785","2.602305740337851","56,76%","1.4770988340938276","3826640","1711593","123,57%","2115047","11:27","07:36","50,66%","231","60,35%","64,44%","-6,35%","-0.040903819231371985"
"konsylium24.pl","1,4%","3736807","4314349","-13,39%","-577542","2614321","3475023","-24,77%","-860702","4322","brak zmian","100%","4322","84412","114043","-25,98%","-29631","790400","557097","41,88%","233303","brak zmian","brak zmian","brak zmian","brak zmian","6552","7578","-13,54%","-1026","30899","34761","-11,11%","-3862","193","634","-69,56%","-441","205708","124648","65,03%","81060","brak zmian","565","-100%","-565","0,07%","0,06%","24,7%","0.00014796272884406406","8.280363690177202","11.557907345928667","-28,36%","-3.2775436557514652","1435905","1289371","11,36%","146534","14:19","19:56","-28,18%","-337","44,61%","41,71%","6,94%","0.028939233923790664"
"adamed.expert","1,1%","2917654","135391","2,1 tys.%","2782263","1516137","75682","1,9 tys.%","1440455","1625","brak zmian","100%","1625","51970","1296","3,9 tys.%","50674","968896","24716","3,8 tys.%","944180","brak zmian","brak zmian","brak zmian","brak zmian","194112","26184","641,34%","167928","24425","203","11,9 tys.%","24222","3326","brak zmian","100%","3326","124029","7310","1,6 tys.%","116719","33134","brak zmian","100%","33134","brak zmian","brak zmian","brak zmian","brak zmian","2.2800853014099682","2.2718201357549614","0,36%","0.00826516565500679","2111604","114811","1,7 tys.%","1996793","04:14","08:20","-49,2%","-246","71,57%","80,62%","-11,23%","-0.09055925497410089"
"poz1.pl","0,52%","1395831","2155040","-35,23%","-759209","1125865","1684838","-33,18%","-558973","4664","brak zmian","100%","4664","57605","161413","-64,31%","-103808","178312","294323","-39,42%","-116011","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","16842","11564","45,64%","5278","9523","656","1,4 tys.%","8867","3020","2246","34,46%","774","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","5.942851964170448","2.448670094290593","142,7%","3.4941818698798546","244845","304856","-19,69%","-60011","21:20","23:22","-8,7%","-122","31,31%","45,8%","-31,63%","-0.14485674798953518"
"farmacja.pl","0,43%","1143583","1520548","-24,79%","-376965","564471","495689","13,88%","68782","1053","brak zmian","100%","1053","22133","63135","-64,94%","-41002","499271","926541","-46,11%","-427270","brak zmian","brak zmian","brak zmian","brak zmian","27704","13652","102,93%","14052","2024","7025","-71,19%","-5001","654","brak zmian","100%","654","26272","14159","85,55%","12113","1","347","-99,71%","-346","brak zmian","brak zmian","brak zmian","brak zmian","3.2012674200298536","2.7857634221346514","14,92%","0.4155039978952022","770519","1015803","-24,15%","-245284","04:41","04:36","1,81%","5","54,2%","59,83%","-9,4%","-0.05626465565013605"
"hiredoc.com","0,18%","492242","brak zmian","100%","492242","186430","brak zmian","100%","186430","287","brak zmian","100%","287","188395","brak zmian","100%","188395","93686","brak zmian","100%","93686","brak zmian","brak zmian","brak zmian","brak zmian","13357","brak zmian","100%","13357","7195","brak zmian","100%","7195","21","brak zmian","100%","21","2871","brak zmian","100%","2871","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","3.179078583298459","brak zmian","100%","3.179078583298459","325966","brak zmian","100%","325966","05:39","brak zmian","100%","339","53,69%","brak zmian","100%","0.5369472739018613"
"karierabohatera.pl","0,08%","222561","114430","94,5%","108131","96103","39097","145,81%","57006","800","brak zmian","100%","800","2408","2217","8,62%","191","113447","58904","92,6%","54543","brak zmian","brak zmian","brak zmian","brak zmian","5528","7050","-21,59%","-1522","4119","5501","-25,12%","-1382","brak zmian","brak zmian","brak zmian","brak zmian","156","brak zmian","100%","156","brak zmian","1661","-100%","-1661","brak zmian","brak zmian","brak zmian","brak zmian","2.6503340657168146","2.543161758280171","4,21%","0.10717230743664352","169712","93513","81,48%","76199","04:51","06:45","-28,15%","-114","65,84%","65,82%","0,03%","0.00020199554900279804"
"klinikaofert.pl","0,05%","140234","187563","-25,23%","-47329","26854","40792","-34,17%","-13938","307","brak zmian","100%","307","2573","6900","-62,71%","-4327","108952","129626","-15,95%","-20674","brak zmian","brak zmian","brak zmian","brak zmian","228","brak zmian","100%","228","1320","10245","-87,12%","-8925","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","1.7732219005376728","1.4374316896189547","23,36%","0.3357902109187181","111347","138103","-19,37%","-26756","05:09","06:25","-19,74%","-76","81,38%","82,33%","-1,15%","-0.009453448463637049"
"pharmajobs.pl","0,03%","91340","70889","28,85%","20451","32790","29477","11,24%","3313","211","brak zmian","100%","211","5089","1655","207,49%","3434","48506","27631","75,55%","20875","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","4297","11692","-63,25%","-7395","brak zmian","brak zmian","brak zmian","brak zmian","447","434","3%","13","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","1.7881103569082548","1.6857058217777088","6,07%","0.10240453513054604","79351","62978","26%","16373","04:05","05:07","-20,2%","-62","76,8%","72,66%","5,71%","0.04145900166203209"
"medcases.io","0,03%","67979","103938","-34,6%","-35959","30127","39740","-24,19%","-9613","1042","brak zmian","100%","1042","5933","3519","68,6%","2414","29921","58684","-49,01%","-28763","brak zmian","brak zmian","brak zmian","brak zmian","433","brak zmian","100%","433","305","1995","-84,71%","-1690","218","brak zmian","100%","218","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","8.961532237896998","3.75933729723489","138,38%","5.202194940662109","56758","74159","-23,46%","-17401","14:50","08:18","78,71%","392","63,22%","59,33%","6,55%","0.038835859861258815"
"hippojobs.pl","0,02%","61316","brak zmian","100%","61316","38471","brak zmian","100%","38471","brak zmian","brak zmian","brak zmian","brak zmian","387","brak zmian","100%","387","12283","brak zmian","100%","12283","brak zmian","brak zmian","brak zmian","brak zmian","5125","brak zmian","100%","5125","4998","brak zmian","100%","4998","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","52","brak zmian","100%","52","brak zmian","brak zmian","brak zmian","brak zmian","1.598261465196686","brak zmian","100%","1.598261465196686","60770","brak zmian","100%","60770","01:25","brak zmian","100%","85","82,11%","brak zmian","100%","0.8211233609498336"
"med-jobshr.pl","0,02%","58577","20760","182,16%","37817","28261","11228","151,7%","17033","brak zmian","brak zmian","brak zmian","brak zmian","375","920","-59,24%","-545","29693","6132","384,23%","23561","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","248","2480","-90%","-2232","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","2.048653908530652","2.5201830443159925","-18,71%","-0.4715291357853406","46206","20084","130,06%","26122","01:25","04:35","-69,09%","-190","62,55%","34,33%","82,19%","0.28214583044901487"
"medjobs.pl","0,02%","57263","5108","1 tys.%","52155","39686","1998","1,9 tys.%","37688","brak zmian","brak zmian","brak zmian","brak zmian","1107","brak zmian","100%","1107","6081","1054","476,94%","5027","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","10313","2056","401,61%","8257","76","brak zmian","100%","76","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","brak zmian","5.874142116200688","1.9547768206734535","200,5%","3.9193652955272347","26095","4680","457,59%","21415","15:31","02:11","610,69%","800","36,46%","65,29%","-44,16%","-0.28831644730462425"