"","TAM (Total Addressable Market)","SAM (Serviceable Available Market)"
"Mar 2024","184 649 630","47 628 246"
"Apr 2024","181 028 489","42 931 536"
"May 2024","204 084 594","44 992 712"
"Jun 2024","167 894 002","38 116 828"
"Jul 2024","180 086 796","44 494 915"
"Aug 2024","168 427 324","39 542 950"
"Sep 2024","194 343 387","41 138 003"
"Oct 2024","201 405 295","40 563 188"
"Nov 2024","172 568 838","41 201 865"
"Dec 2024","202 554 731","49 482 518"
"Jan 2025","185 430 891","39 714 108"
"Feb 2025","154 407 058","56 416 518"
"Mar 2025","169 509 935","41 949 153"
"Apr 2025","138 420 164","34 177 799"
"May 2025","180 642 078","43 808 260"
"Jun 2025","151 231 022","123 910 139"
"Jul 2025","110 906 227","22 481 156"
"Aug 2025","250 881 845","64 741 885"
"Sep 2025","283 079 955","40 352 313"
"Oct 2025","361 197 163","53 423 628"
"Nov 2025","373 513 117","53 331 997"
"Dec 2025","299 522 988","56 146 553"
"Jan 2026","307 025 946","45 439 879"
"Feb 2026","357 044 507","50 311 081"